date,name,value
2014-3-30,ActionScript,2636
2014-3-30,D,2459
2014-3-30,Haxe,2436
2014-3-30,Elixir,2394
2014-3-30,F#,2359
2014-3-30,Common Lisp,2207
2014-3-30,SCSS,1929
2014-3-30,Swift,1917
2014-3-30,Scheme,1912
2014-3-30,Pascal,1853
2014-3-30,Nix,1830
2014-3-30,Vim Script,1749
2014-3-30,Assembly,1731
2014-3-30,Processing,1534
2014-3-30,Vala,1490
2014-3-30,ColdFusion,1377
2014-3-30,BitBake,1366
2014-3-30,Visual Basic,1332
2014-3-30,DM,1194
2014-3-30,Mathematica,1142
2014-3-30,Apex,1041
2014-3-30,PLpgSQL,1004
2014-3-30,QML,983
2014-3-30,Racket,933
2014-3-30,CMake,889
2014-3-30,Tcl,874
2014-3-30,ASP,868
2014-3-30,FORTRAN,851
2014-3-30,MATLAB,833
2014-3-30,Prolog,823
2014-3-30,AutoHotkey,805
2014-3-30,Roff,803
2014-3-30,Fortran,784
2014-3-30,VHDL,721
2014-3-30,Verilog,712
2014-3-30,ApacheConf,659
2014-3-30,Smalltalk,639
2014-3-30,Raku,632
2014-3-30,Eagle,603
2014-3-30,JetBrains MPS,590
2014-3-30,BlitzBasic,546
2014-3-30,LiveScript,538
2014-3-30,Standard ML,516
2014-3-30,SourcePawn,510
2014-3-30,TSQL,504
2014-3-30,Cucumber,502
2014-3-30,nesC,496
2014-3-30,AppleScript,487
2014-3-30,Handlebars,433
2014-3-30,IDL,420
2014-3-30,Groff,405
2014-3-30,Ada,401
2014-3-30,SQLPL,392
2014-3-30,OpenSCAD,387
2014-3-30,Brightscript,383
2014-3-30,PLSQL,365
2014-3-30,Less,356
2014-3-30,Batchfile,354
2014-3-30,UnrealScript,346
2014-3-30,Elm,342
2014-3-30,Objective-C++,341
2014-6-30,JavaScript,564777
2014-6-30,Python,384562
2014-6-30,Java,340396
2014-6-30,PHP,260243
2014-6-30,Ruby,219194
2014-6-30,C++,196965
2014-6-30,C,146017
2014-6-30,CSS,118071
2014-6-30,HTML,92850
2014-6-30,C#,82107
2014-6-30,Shell,75636
2014-6-30,Go,56405
2014-6-30,Objective-C,52752
2014-6-30,CoffeeScript,31806
2014-6-30,Scala,29906
2014-6-30,Haskell,25543
2014-6-30,Perl,20430
2014-6-30,Clojure,18426
2014-6-30,TypeScript,17843
2014-6-30,Lua,15243
2014-6-30,TeX,12767
2014-6-30,R,11214
2014-6-30,Groovy,11198
2014-6-30,Rust,8802
2014-6-30,Emacs Lisp,8181
2014-6-30,Erlang,7973
2014-6-30,Puppet,6102
2014-6-30,Jupyter Notebook,5966
2014-6-30,Swift,5757
2014-6-30,Dart,5024
2014-6-30,Vim script,4954
2014-6-30,Kotlin,4915
2014-6-30,OCaml,4432
2014-6-30,Matlab,4235
2014-6-30,Makefile,3915
2014-6-30,VimL,3516
2014-6-30,PowerShell,3460
2014-6-30,F#,3449
2014-6-30,Haxe,3187
2014-6-30,D,3162
2014-6-30,Julia,2974
2014-6-30,SCSS,2939
2014-6-30,Arduino,2899
2014-6-30,Assembly,2701
2014-6-30,Common Lisp,2468
2014-6-30,ActionScript,2422
2014-6-30,Elixir,2368
2014-6-30,XSLT,2310
2014-6-30,Nix,1969
2014-6-30,Vim Script,1963
2014-6-30,Visual Basic,1818
2014-6-30,Processing,1740
2014-6-30,Vala,1609
2014-6-30,Fortran,1542
2014-6-30,Scheme,1529
2014-6-30,PLpgSQL,1515
2014-6-30,Pascal,1391
2014-6-30,DM,1388
2014-6-30,MATLAB,1293
2014-6-30,Mathematica,1269
2014-6-30,Prolog,1239
2014-6-30,BitBake,1194
2014-6-30,SQL,1170
2014-6-30,QML,1097
2014-6-30,Eagle,1088
2014-6-30,Racket,1072
2014-6-30,TSQL,1031
2014-6-30,Raku,1022
2014-6-30,Roff,1009
2014-6-30,ColdFusion,980
2014-6-30,CMake,974
2014-6-30,Verilog,945
2014-6-30,Apex,934
2014-6-30,Smalltalk,914
2014-6-30,ASP,836
2014-6-30,FORTRAN,825
2014-6-30,Standard ML,731
2014-6-30,SQLPL,725
2014-6-30,SourcePawn,714
2014-6-30,Tcl,714
2014-6-30,ApacheConf,712
2014-6-30,PLSQL,671
2014-6-30,VHDL,642
2014-6-30,LiveScript,627
2014-6-30,Objective-C++,605
2014-6-30,Objective-J,585
2014-6-30,Cuda,566
2014-6-30,Pug,551
2014-6-30,AutoHotkey,547
2014-6-30,SuperCollider,540
2014-6-30,hoon,534
2014-6-30,BlitzBasic,531
2014-6-30,JetBrains MPS,530
2014-6-30,Game Maker Language,511
2014-6-30,KRL,500
2014-6-30,Gherkin,473
2014-6-30,Cucumber,460
2014-6-30,Ada,457
2014-6-30,AppleScript,455
2014-6-30,Factor,448
2014-9-30,JavaScript,632495
2014-9-30,Python,422052
2014-9-30,Java,365744
2014-9-30,PHP,285437
2014-9-30,Ruby,221306
2014-9-30,C++,216385
2014-9-30,C,162978
2014-9-30,CSS,131369
2014-9-30,HTML,117725
2014-9-30,C#,90195
2014-9-30,Shell,89278
2014-9-30,Go,74663
2014-9-30,Objective-C,48266
2014-9-30,Scala,35730
2014-9-30,CoffeeScript,33624
2014-9-30,Haskell,26362
